number,winrate,activation_threshold,adv_vwap_std_thr,adx_thresh,allow_long,allow_short,close_position,cmf_thresh,enable_breakeven,lookback_minutes,max_pct,min_pct,min_trend_duration,min_trend_strength,momentum_thresh,obs_direction,observation_hours,rsi_buy,rsi_exit_ob,rsi_exit_os,rsi_sell,sl_std,tp1,tp2,tp3,tp_std,trailing_distance,use_adv_vwap,use_adx,use_bb,use_cmf,use_macd,use_momentum,use_obv,use_standard_sl_tp,use_vwap,loss_count,total_pnl,trade_count,win_count,state,datetime_start,datetime_complete,duration_seconds
24,0.679245,3.800000,2.800000,40.000000,True,True,False,0.200000,True,3810,26.300000,0.800000,8,2.200000,0.006000,plus,14,58.000000,84.000000,11.000000,25.000000,,1.700000,2.000000,5.100000,,4.910000,True,False,True,True,True,False,True,False,False,17.000000,-2.167454,53.000000,36.000000,COMPLETE,2025-04-27 18:32:10.822196,2025-04-27 18:32:12.207741,1.385545
70,0.666667,2.700000,2.400000,36.000000,True,True,False,-0.100000,True,3990,31.700000,5.200000,14,3.900000,0.010000,plus,20,69.000000,94.000000,4.000000,14.000000,,3.700000,4.400000,5.800000,,6.810000,True,False,True,True,True,False,True,False,False,21.000000,-6.624668,63.000000,42.000000,COMPLETE,2025-04-27 18:34:10.068211,2025-04-27 18:34:12.691126,2.622915
40,0.661850,1.300000,2.000000,48.000000,True,True,False,0.450000,True,3900,55.900000,7.400000,11,2.700000,0.004000,minus,59,93.000000,79.000000,19.000000,37.000000,,2.200000,3.500000,4.800000,,5.310000,False,True,False,True,True,False,False,False,False,117.000000,12.310161,346.000000,229.000000,COMPLETE,2025-04-27 18:32:40.006003,2025-04-27 18:32:41.791003,1.785000
53,0.659574,3.400000,2.900000,11.000000,True,True,False,-0.050000,True,3780,56.300000,5.300000,3,3.500000,0.030000,plus,7,65.000000,91.000000,12.000000,21.000000,,2.900000,4.200000,5.700000,,8.010000,True,False,True,True,True,False,True,False,False,16.000000,-4.256860,47.000000,31.000000,COMPLETE,2025-04-27 18:33:09.017614,2025-04-27 18:33:11.405146,2.387532
44,0.653846,2.900000,2.700000,51.000000,True,True,False,-0.050000,True,4110,22.000000,4.000000,2,3.300000,0.006000,plus,10,70.000000,87.000000,4.000000,11.000000,,2.300000,3.200000,4.000000,,6.510000,True,False,True,True,True,False,True,False,True,9.000000,-4.348971,26.000000,17.000000,COMPLETE,2025-04-27 18:32:48.155220,2025-04-27 18:32:49.491269,1.336049
32,0.652174,2.800000,2.800000,48.000000,True,True,False,0.300000,True,3600,21.000000,5.000000,7,1.300000,0.000500,plus,6,51.000000,93.000000,10.000000,24.000000,,3.000000,4.800000,6.700000,,5.610000,True,False,True,True,True,False,True,False,False,8.000000,0.263732,23.000000,15.000000,COMPLETE,2025-04-27 18:32:25.471390,2025-04-27 18:32:26.750511,1.279121
54,0.650602,4.100000,2.800000,53.000000,True,True,False,0.350000,True,3510,57.900000,4.400000,6,2.500000,0.001500,plus,67,63.000000,88.000000,3.000000,10.000000,,2.500000,3.500000,4.800000,,6.710000,True,False,True,True,True,False,True,False,False,29.000000,-3.453043,83.000000,54.000000,COMPLETE,2025-04-27 18:33:11.656235,2025-04-27 18:33:14.630401,2.974166
34,0.639485,4.600000,2.900000,57.000000,True,True,True,-0.100000,True,4020,12.700000,2.200000,11,2.100000,0.007000,plus,11,59.000000,85.000000,5.000000,20.000000,,3.600000,4.700000,7.200000,,7.210000,False,False,True,False,True,False,False,False,False,84.000000,-1.418409,233.000000,149.000000,COMPLETE,2025-04-27 18:32:28.609855,2025-04-27 18:32:29.824431,1.214576
56,0.639073,4.400000,2.500000,60.000000,True,True,False,0.100000,True,510,60.000000,1.000000,2,1.500000,0.004000,plus,4,71.000000,83.000000,33.000000,43.000000,,3.400000,5.200000,6.400000,,7.010000,True,False,False,True,True,False,False,False,False,109.000000,-7.723029,302.000000,193.000000,COMPLETE,2025-04-27 18:33:18.535510,2025-04-27 18:33:21.781978,3.246468
15,0.631068,5.000000,2.400000,46.000000,True,True,False,-0.100000,False,2940,54.100000,4.600000,13,1.800000,0.005000,plus,72,62.000000,91.000000,16.000000,23.000000,,3.800000,5.500000,7.800000,,3.810000,True,False,True,True,True,False,True,False,False,38.000000,-4.322034,103.000000,65.000000,COMPLETE,2025-04-27 18:31:56.798070,2025-04-27 18:31:58.598896,1.800826
