trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,enable_breakeven,enable_trailing_take_profit,third_level_trailing_distance,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
24,ML-Guided,,False,0.99,1.0,1.34,6.1,True,True,2.56,False,False,short,3.53,21.48,483,5,False,True,True,False,bullish,False,11,139,123,12,0.5,10,29,66,39,88,2,37,4.81,1.26,0.3938,False,36,0.6438,False,45,3.55,False,20,58,13,False,27,39.4,True,True,2.33,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,32.0,0.5,4.384107457652555,12.852480093327236,1.2851506922875946,0.1370033580516423,0.7232271556986308,0.0749999999999979,0.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,46.875,53.125,0.0,0.0,0.0,"[19, 123, 256]",[5.3],[100.0]
25,ML-Guided,,False,0.99,1.0,0.57,4.06,False,False,0.62,False,False,both,3.82,25.33,608,12,True,True,True,False,bearish,False,15,83,108,7,1.89,3,23,70,24,87,22,23,1.0,2.12,0.3659,False,36,0.6438,True,39,3.61,False,20,58,13,True,37,18.1,False,True,1.51,False,7,True,11,0.05,5m,5m,FARTCOINUSDT,195.0,0.6615384615384615,-15.969024944711633,69.19240057325162,0.7237499255081152,-0.0818924356139058,2.9279448859746835,0.0565384615384596,0.0,49.0,127.0,19.0,0.0,0.0,0.0,25.128205128205128,65.12820512820512,9.743589743589745,0.0,0.0,0.0,"[50, 143, 235]","[2.4, 2.8]","[50.0, 50.0]"
26,ML-Guided,,True,0.066,0.061,0.0,1.0,False,False,1.0,False,False,short,3.62,30.14,152,9,False,True,True,False,bullish,False,17,137,71,20,3.58,9,24,62,25,90,14,59,4.06,1.66,0.0949,True,40,0.96,False,45,3.55,False,20,58,13,False,27,39.4,False,False,1.0,True,27,True,19,-0.15,5m,5m,FARTCOINUSDT,30.0,0.4333333333333333,-7.728807914263437,50.76556515726784,0.6999201700820913,-0.2576269304754479,0.6793276636127927,0.0749999999999999,0.0,11.0,12.0,7.0,0.0,0.0,0.0,36.66666666666666,40.0,23.33333333333333,0.0,0.0,0.0,"[26, 73, 184]",[6.1],[100.0]
27,ML-Guided,,True,0.026,0.049,0.0,1.0,False,False,1.0,False,False,short,3.57,19.87,204,8,True,True,True,False,bearish,False,4,139,206,3,2.82,5,24,61,30,86,14,37,2.91,0.89,0.3169,False,36,0.6438,False,45,3.55,False,20,58,13,True,35,36.5,True,False,1.0,False,7,True,19,0.24,5m,5m,FARTCOINUSDT,17.0,0.2352941176470588,-3.816029812047376,20.74273065894845,0.5573005398588989,-0.2244723418851397,0.3828824561898641,0.0749999999999991,0.0,12.0,4.0,1.0,0.0,0.0,0.0,70.58823529411765,23.52941176470588,5.88235294117647,0.0,0.0,0.0,"[37, 149, 291]",[4.9],[100.0]
28,ML-Guided,,True,0.066,0.039,0.0,1.0,False,False,1.0,False,False,both,0.57,22.87,157,2,False,True,True,False,bullish,False,30,55,213,18,3.6,8,12,68,24,88,10,33,1.66,0.59,0.3782,False,36,0.6438,True,12,3.3,False,20,58,13,False,27,39.4,True,False,1.0,True,30,True,23,-0.12,5m,5m,FARTCOINUSDT,4.0,0.5,-1.4448356775000013,9.579662445000013,0.5680605076859674,-0.3612089193750003,0.0889856775,0.0750000000000002,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,"[37, 110, 259]",[3.9],[100.0]
29,ML-Guided,,True,0.049,0.035,0.0,1.0,False,False,1.0,False,False,short,2.43,47.36,122,7,True,True,True,False,bearish,False,4,64,112,20,2.66,10,18,61,35,81,3,37,1.62,1.91,0.0536,True,29,0.23,True,29,3.94,True,11,45,11,True,30,21.6,True,False,1.0,True,23,False,35,-0.1,5m,5m,FARTCOINUSDT,26.0,0.4615384615384615,-6.764655982421924,31.243703416905493,0.6017507808574215,-0.260179076246997,0.58681205726632,0.0749999999999997,0.0,11.0,12.0,3.0,0.0,0.0,0.0,42.30769230769231,46.15384615384615,11.538461538461538,0.0,0.0,0.0,"[34, 99, 242]",[3.5],[100.0]
30,ML-Guided,,True,0.05,0.042,0.0,1.0,False,False,1.0,False,False,long,4.11,28.39,488,6,False,True,True,False,bullish,False,9,117,131,19,3.34,10,18,69,17,91,12,26,1.55,2.31,0.3746,True,8,0.76,False,45,3.55,False,20,58,13,False,27,39.4,True,True,1.03,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,30.0,0.3666666666666666,-9.96153638759048,51.89510269262004,0.5320478526832788,-0.3320512129196826,0.6742625028576393,0.0749999999999978,0.0,13.0,11.0,6.0,0.0,0.0,0.0,43.333333333333336,36.66666666666666,20.0,0.0,0.0,0.0,"[11, 99, 270]",[4.2],[100.0]
31,ML-Guided,,True,0.048,0.043,0.0,1.0,False,False,1.0,False,False,short,2.08,31.11,209,4,True,True,True,False,bullish,False,20,54,73,20,0.73,1,22,56,34,80,4,42,1.61,1.17,0.3247,True,13,0.5,False,45,3.55,False,20,58,13,True,22,17.3,True,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,254.0,0.4330708661417323,-21.729608967667307,95.63474541539182,0.8417993275102938,-0.0855496416049894,5.710097584859089,0.0749999999999992,0.0,75.0,110.0,69.0,0.0,0.0,0.0,29.527559055118108,43.30708661417323,27.165354330708663,0.0,0.0,0.0,"[18, 127, 286]",[4.3],[100.0]
32,ML-Guided,,True,0.045,0.051,0.0,1.0,False,False,1.0,False,False,both,4.94,19.91,203,12,False,True,True,False,bullish,False,26,103,60,8,3.1,9,30,67,22,88,8,38,1.74,1.18,0.0142,False,36,0.6438,False,45,3.55,False,20,58,13,True,9,32.1,True,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,171.0,0.4561403508771929,-2.0158586357242165,45.12500951465694,0.9797687189837992,-0.0117886469925392,3.8461822645075032,0.0749999999999991,0.0,81.0,78.0,12.0,0.0,0.0,0.0,47.368421052631575,45.614035087719294,7.017543859649122,0.0,0.0,0.0,"[47, 107, 299]",[5.1],[100.0]
33,ML-Guided,,True,0.076,0.022,0.0,1.0,False,False,1.0,False,False,long,1.32,36.91,181,5,True,True,True,False,bearish,False,29,90,162,13,2.28,10,17,75,32,89,28,17,2.7,0.84,0.3367,False,36,0.6438,True,32,3.79,False,20,58,13,False,27,39.4,True,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,88.0,0.75,-0.5767399889695267,23.085193764244096,0.9836160096781328,-0.0065538635110173,1.978057167808073,0.0749999999999989,0.0,12.0,65.0,11.0,0.0,0.0,0.0,13.636363636363637,73.86363636363636,12.5,0.0,0.0,0.0,"[28, 91, 271]",[2.2],[100.0]
