trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
117,ML-Guided,,False,0.99,1.0,0.81,2.84,1.42,4.19,True,True,False,False,short,1.26,47.93,700,11,True,True,True,False,bullish,False,10,74,56,16,0.99,8,19,69,16,87,8,24,4.69,2.0,0.8666,True,15,0.0359,True,39,3.83,False,20,58,13,True,19,15.6,False,False,0.89,True,10,False,1,0.0,5m,5m,,437.0,0.6178489702517163,-476.5001675043148,1906.000670017262,0.407510195444656,-1.0903893993233749,52.62485201849603,0.6161327231121255,0.0,81.0,246.0,105.0,11.0,0.0,0.0,18.284424379232505,55.53047404063205,23.702031602708804,2.4830699774266365,0.0,0.0,"[40, 144, 225]","[1.0, 1.4, 3.7]","[33.33, 33.33, 33.33]"
118,ML-Guided,,False,0.99,1.0,0.69,3.75,0.79,1.0,True,False,False,False,short,2.83,36.38,30,2,False,True,True,False,bullish,False,17,62,56,10,1.05,6,26,76,28,86,13,43,4.49,2.58,0.4366,True,25,0.2312,True,50,1.75,False,20,58,13,True,28,31.3,True,False,0.89,True,10,False,1,0.0,5m,5m,,5.0,0.2,-16.145610733208045,64.58244293283217,0.0918709806653555,-3.229122146641609,0.9041586534358976,0.7499999999999877,0.0,1.0,1.0,3.0,1.0,0.0,0.0,16.666666666666664,16.666666666666664,50.0,16.666666666666664,0.0,0.0,"[12, 98, 165]","[1.4, 4.8]","[50.0, 50.0]"
119,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.4,1.82,0.63,1.0,True,False,False,False,both,1.49,31.18,186,4,False,True,True,False,bullish,False,7,31,72,18,3.39,7,17,77,41,79,14,27,3.53,1.13,0.3033,True,21,0.1119,False,11,1.73,False,20,58,13,False,35,32.2,True,True,2.43,True,8,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[45, 119, 179]","[3.3, 3.8]","[50.0, 50.0]"
120,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0449,0.0158,0.0,1.0,0.1,1.0,False,False,False,False,both,3.31,22.98,719,8,True,True,True,False,bearish,False,30,47,58,5,0.12,5,30,73,37,90,7,12,1.91,1.72,0.6213,False,36,0.6438,True,25,1.74,True,7,27,18,False,35,32.2,False,True,0.61,True,6,True,29,0.07,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[13, 129, 257]",[1.6],[100.0]
121,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0626,0.0456,0.0,1.0,0.1,1.0,False,False,False,False,both,2.16,43.12,110,5,False,True,True,False,bullish,False,30,64,192,3,3.6,9,15,71,39,91,6,18,2.95,1.46,0.828,False,36,0.6438,False,11,1.73,True,8,50,14,True,35,17.0,False,True,2.11,True,16,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[26, 88, 188]",[4.6],[100.0]
122,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.049,0.0159,0.0,1.0,0.1,1.0,False,False,False,False,long,4.02,21.89,111,7,False,True,True,False,bearish,False,30,63,168,8,1.17,7,27,78,45,81,5,59,4.06,2.32,0.5854,True,7,0.0592,True,41,1.9,True,24,56,6,True,11,22.1,True,True,1.49,True,29,True,12,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[19, 143, 233]",[1.6],[100.0]
123,ML-Guided,,False,0.99,1.0,0.89,3.06,0.79,1.0,False,False,False,False,long,0.6,6.26,558,11,False,True,True,False,bearish,False,30,148,101,11,0.55,4,7,60,41,88,6,57,3.14,1.72,0.399,True,3,0.9832,True,39,2.7,False,20,58,13,False,35,32.2,True,False,0.89,True,5,False,1,0.0,5m,5m,,69.0,0.3188405797101449,-80.38634246553787,243.7712557408562,0.6408611177890059,-1.165019456022288,15.50685150640426,0.7499999999999979,0.0,22.0,17.0,30.0,18.0,0.0,0.0,25.287356321839084,19.54022988505747,34.48275862068966,20.689655172413797,0.0,0.0,"[25, 54, 251]",[3.4],[100.0]
124,ML-Guided,,False,0.99,1.0,0.6,1.72,0.11,1.0,True,False,False,False,short,3.18,29.83,143,6,True,True,True,False,bullish,False,23,102,77,11,1.95,3,26,82,42,94,12,59,3.03,0.8,0.6128,False,36,0.6438,True,47,2.31,False,20,58,13,False,35,32.2,False,False,0.89,True,8,True,17,0.15,5m,5m,,128.0,0.59375,-152.32236238306794,594.5760271377778,0.2593204041738047,-1.1900184561177185,19.572601048772285,0.615234374999979,0.0,51.0,72.0,2.0,6.0,0.0,0.0,38.93129770992366,54.96183206106871,1.5267175572519085,4.580152671755725,0.0,0.0,"[18, 140, 261]","[0.5, 0.8]","[50.0, 50.0]"
125,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0693,0.0373,0.0,1.0,0.1,1.0,False,False,False,False,short,1.57,37.35,71,2,True,True,True,False,bearish,False,7,138,50,3,1.06,3,24,68,42,87,5,10,4.86,1.91,0.8493,True,10,0.2076,False,11,1.73,False,20,58,13,True,27,35.0,True,True,1.16,True,5,True,30,0.12,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[37, 111, 209]",[3.7],[100.0]
126,ML-Guided,,False,0.99,1.0,0.25,5.37,0.78,1.0,False,False,False,False,long,3.65,6.59,138,12,False,True,True,False,bearish,False,5,58,77,20,0.14,3,25,67,16,79,8,42,4.41,1.61,0.8973,False,36,0.6438,True,30,1.59,False,20,58,13,False,35,32.2,True,True,1.49,True,23,True,38,-0.07,5m,5m,,16.0,0.3125,-12.517123034500235,75.53998806823758,0.6196571081093696,-0.7823201896562647,3.593215758274302,0.7499999999999999,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,"[15, 106, 210]",[2.0],[100.0]
