trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
227,ML-Guided,,False,0.99,1.0,0.47,3.7,1.44,1.0,True,False,False,both,4.34,42.74,720,11,True,True,True,False,bullish,False,3,31,120,8,0.09,3,22,71,45,96,26,33,4.24,2.56,0.5477,False,36,0.6438,True,24,3.39,True,21,49,8,True,19,34.1,True,False,2.29,False,11,True,9,-0.09,5m,5m,PARTIUSDT,1.0,1.0,3.765469600000014,0.0,1000.0,3.765469600000014,0.2225303999999999,0.7500000000000066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[26, 86, 237]",False,[1.6],[100.0]
540,ML-Guided,,False,0.99,1.0,0.86,5.06,0.11,1.24,False,False,False,both,4.37,43.26,167,9,False,True,True,False,bearish,False,28,63,63,14,4.53,3,10,62,45,85,30,53,2.78,1.08,0.6485,True,35,0.91,False,35,1.59,True,16,51,13,False,27,39.4,False,True,0.74,False,11,False,35,-0.1,5m,5m,PARTIUSDT,3.0,1.0,3.719341138308871,0.0,1000.0,1.2397803794362905,0.2274510564876584,0.7499999999999956,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[35, 64, 285]",True,"[0.9, 2.5, 4.3]","[33.33, 33.33, 33.33]"
250,ML-Guided,,False,0.99,1.0,0.93,5.1,0.6,1.0,True,False,False,long,3.98,19.55,664,12,False,True,True,False,bullish,False,30,127,144,6,4.57,8,6,67,45,76,24,51,4.38,2.77,0.3813,True,27,0.8,False,35,1.59,True,10,35,8,False,27,39.4,False,False,2.29,False,11,True,24,-0.18,5m,5m,PARTIUSDT,2.0,1.0,3.689815399954409,0.0,1000.0,1.8449076999772045,0.2274377639237451,0.749999999999985,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,"[21, 86, 169]",False,"[0.9, 2.7]","[50.0, 50.0]"
626,ML-Guided,,False,0.99,1.0,0.63,5.47,0.48,0.98,True,False,False,both,2.52,42.97,170,7,True,True,True,False,bearish,False,18,92,241,3,3.02,5,13,65,43,87,18,40,4.68,0.53,0.2686,True,27,0.56,False,35,1.59,False,20,58,13,True,30,17.0,False,False,2.29,False,11,True,22,-0.19,5m,5m,PARTIUSDT,4.0,0.75,3.648975969817101,1.2609268103899347,10.973809470278958,0.9122439924542752,0.4480301277439023,0.3749999999999929,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,"[36, 93, 204]",True,"[1.0, 1.1, 3.0]","[33.33, 33.33, 33.33]"
599,ML-Guided,,False,0.99,1.0,0.61,5.75,1.08,1.0,True,False,False,both,4.56,26.51,254,8,False,True,True,False,bearish,False,21,113,250,3,2.17,7,21,59,40,82,2,16,1.28,0.64,0.5589,True,9,0.62,False,35,1.59,True,12,59,18,False,27,39.4,False,False,2.29,False,11,True,7,-0.21,5m,5m,PARTIUSDT,22.0,0.7272727272727273,3.076519069494337,59.59984290997542,1.0520283078185635,0.1398417758861062,2.910814499893775,0.7499999999999972,0.0,3.0,16.0,3.0,2.0,0.0,0.0,12.5,66.66666666666666,12.5,8.333333333333332,0.0,0.0,"[20, 124, 231]",False,"[2.2, 4.5]","[50.0, 50.0]"
27,ML-Guided,,False,0.99,1.0,0.64,5.29,1.16,1.0,True,False,False,short,4.7,35.43,489,10,True,True,True,False,bearish,False,25,50,236,15,0.36,7,20,80,23,96,13,10,2.83,2.37,0.9991,True,30,0.51,False,35,1.59,False,20,58,13,True,39,39.4,True,True,1.37,False,11,False,35,-0.1,5m,5m,PARTIUSDT,9.0,0.7777777777777778,2.874266902496624,19.738582047040865,1.4378538058445098,0.3193629891662916,1.1198276574480248,0.7500000000000002,0.0,1.0,7.0,1.0,0.0,0.0,0.0,11.11111111111111,77.77777777777779,11.11111111111111,0.0,0.0,0.0,"[11, 149, 216]",False,"[1.0, 1.4]","[50.0, 50.0]"
389,ML-Guided,,False,0.99,1.0,0.36,0.28,1.43,1.0,False,False,False,both,0.64,25.55,181,6,True,True,True,False,bearish,False,3,67,94,20,4.0,8,12,74,23,91,17,60,2.59,3.0,0.1196,True,32,0.78,False,35,1.59,False,20,58,13,True,31,28.3,True,True,0.87,False,11,True,13,0.3,5m,5m,PARTIUSDT,3.0,0.6666666666666666,2.63138554500002,3.46332734369704,3.837198613581938,0.8771285150000067,0.678514455,0.7499999999999819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[38, 73, 262]",False,[0.8],[100.0]
47,ML-Guided,,False,0.99,1.0,0.64,5.48,1.19,2.74,False,False,False,long,2.84,19.28,597,9,False,True,True,False,bearish,False,12,107,100,14,4.68,3,16,67,17,85,11,41,4.02,2.48,0.1466,False,36,0.6438,True,32,2.46,False,20,58,13,True,8,31.8,False,False,2.29,False,11,True,14,0.14,5m,5m,PARTIUSDT,14.0,0.8571428571428571,2.5895486649187367,36.251216643612544,1.1187169281023066,0.1849677617799097,1.345665156219512,0.4285714285714282,0.0,1.0,12.0,1.0,0.0,0.0,0.0,7.142857142857142,85.71428571428571,7.142857142857142,0.0,0.0,0.0,"[21, 65, 176]",True,"[1.7, 2.9, 3.0]","[33.33, 33.33, 33.33]"
503,ML-Guided,,False,0.99,1.0,0.34,5.98,0.18,1.0,True,False,False,long,3.18,46.71,694,3,False,True,True,False,bullish,False,18,123,196,19,2.37,2,15,70,35,76,24,44,2.43,0.86,0.1511,True,31,0.33,True,24,3.56,False,20,58,13,True,10,37.7,True,False,2.29,False,11,True,24,-0.11,5m,5m,PARTIUSDT,20.0,0.55,2.449654929787844,46.42482108885422,1.0305766304820296,0.1224827464893922,4.471240232177116,0.7500000000000024,0.0,3.0,11.0,6.0,2.0,0.0,0.0,13.636363636363637,50.0,27.27272727272727,9.090909090909092,0.0,0.0,"[18, 121, 166]",False,[3.1],[100.0]
85,ML-Guided,,False,0.99,1.0,0.27,2.09,0.14,1.0,True,False,False,both,1.91,49.73,335,5,False,True,True,False,bullish,False,26,125,242,16,1.78,6,19,84,40,98,4,22,3.96,2.93,0.5567,False,36,0.6438,True,25,3.06,False,20,58,13,True,38,34.2,False,False,2.29,False,11,True,13,-0.22,5m,5m,PARTIUSDT,3.0,0.6666666666666666,2.240526139927024,3.2058369749551625,3.483374737334966,0.7468420466423414,0.452561889613293,0.7499999999999686,0.0,2.0,1.0,0.0,2.0,0.0,0.0,40.0,20.0,0.0,40.0,0.0,0.0,"[12, 150, 259]",False,"[2.1, 3.4]","[50.0, 50.0]"
