trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
420,ML-Guided,,False,0.99,1.0,0.67,5.84,0.86,1.0,True,False,False,long,0.59,21.9,449,12,False,True,True,False,bullish,False,9,135,99,3,3.33,4,6,63,25,91,16,45,4.26,0.68,0.1034,True,2,0.73,True,42,2.55,True,21,43,7,False,27,39.4,False,False,2.29,False,11,False,35,-0.1,5m,5m,PARTIUSDT,4.0,0.25,-28.40474308365104,113.61897233460417,0.043257851737226,-7.10118577091276,0.9011540667605809,0.7499999999999707,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,"[30, 94, 210]",False,[2.1],[100.0]
421,ML-Guided,,False,0.99,1.0,0.87,5.77,1.33,0.54,True,False,False,long,4.09,34.77,307,5,True,True,True,False,bearish,False,20,131,147,10,3.61,7,7,72,34,91,10,48,3.65,1.19,0.1103,True,6,1.0,True,20,2.91,False,20,58,13,False,27,39.4,True,False,2.29,True,29,False,35,-0.1,5m,5m,PARTIUSDT,3.0,1.0,7.18697757068715,0.0,1000.0,2.39565919022905,0.2290121953947368,0.4999999999999969,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[14, 120, 277]",True,"[1.8, 3.7, 4.2]","[33.33, 33.33, 33.33]"
422,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.48,3.75,1.09,1.0,True,False,False,both,3.39,20.51,174,9,True,True,True,False,bullish,False,30,37,245,12,4.68,4,22,68,37,90,27,52,3.21,2.26,0.9659,False,36,0.6438,True,16,2.52,False,20,58,13,True,37,38.1,False,False,2.29,False,11,True,27,0.23,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[49, 113, 163]",False,[0.7],[100.0]
423,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.048,0.051,0.0,1.0,0.1,1.0,False,False,False,short,0.8,15.42,573,2,True,True,True,False,bullish,False,10,33,187,8,4.22,2,25,65,17,78,5,23,4.61,1.95,0.1729,False,36,0.6438,True,10,2.14,True,24,40,10,True,29,16.4,False,True,2.07,True,12,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[49, 135, 154]",False,[5.1],[100.0]
424,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.055,0.035,0.0,1.0,0.1,1.0,False,False,False,short,1.6,8.96,464,12,False,True,True,False,bearish,False,26,31,69,20,1.87,7,8,62,40,94,27,60,1.83,0.86,0.8314,False,36,0.6438,True,41,1.61,True,13,39,13,True,14,38.8,True,False,2.29,False,11,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[20, 108, 238]",False,[3.5],[100.0]
425,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.39,4.43,0.99,0.74,True,False,False,short,1.79,46.38,345,12,True,True,True,False,bullish,False,25,67,109,15,4.52,5,16,66,25,97,5,18,1.77,3.0,0.7738,True,11,0.1,True,12,2.05,True,24,39,19,False,27,39.4,False,True,0.49,False,11,False,35,-0.1,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[12, 73, 231]",True,"[1.2, 1.4, 4.4]","[33.33, 33.33, 33.33]"
426,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.11,2.92,0.79,1.0,False,False,False,both,3.26,31.63,712,10,True,True,True,False,bearish,False,14,44,246,15,0.51,3,26,68,45,95,26,51,2.51,2.6,0.4843,False,36,0.6438,True,27,3.69,True,18,28,8,False,27,39.4,True,True,1.51,True,27,True,13,-0.04,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[46, 87, 294]",False,"[1.4, 4.4]","[50.0, 50.0]"
427,ML-Guided,,False,0.99,1.0,0.76,3.33,0.2,1.0,False,False,False,short,3.08,10.07,311,8,False,True,True,False,bearish,False,30,143,122,7,4.63,3,28,80,15,98,5,60,4.38,1.81,0.468,True,9,0.85,False,35,1.59,True,19,31,20,True,13,39.6,True,True,0.36,True,28,True,37,-0.21,5m,5m,PARTIUSDT,1.0,0.0,-8.571892511249988,34.28757004499995,0.0,-8.571892511249988,0.2219175112499999,0.7499999999999594,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[18, 138, 189]",False,"[1.5, 3.6]","[50.0, 50.0]"
428,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.67,4.98,0.88,1.97,False,False,False,both,0.72,15.27,487,3,False,True,True,False,bearish,False,28,38,109,6,4.82,1,24,58,15,76,2,56,1.06,2.23,0.6692,False,36,0.6438,False,35,1.59,False,20,58,13,False,27,39.4,False,True,2.34,True,9,True,13,0.07,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[23, 131, 300]",True,"[0.8, 1.0, 4.3]","[33.33, 33.33, 33.33]"
429,ML-Guided,,False,0.99,1.0,0.41,4.56,0.67,1.0,True,False,False,long,1.39,6.61,471,9,True,True,True,False,bearish,False,7,43,102,6,3.92,8,18,78,34,86,27,42,1.32,1.98,0.2196,True,21,0.75,True,30,2.32,False,20,58,13,True,28,20.7,False,True,0.48,True,5,True,17,0.22,5m,5m,PARTIUSDT,4.0,0.75,20.94248125346899,10.603459132832684,4.8431455805035455,5.235620313367248,0.9125347572048031,0.749999999999972,0.0,1.0,3.0,0.0,1.0,0.0,0.0,20.0,60.0,0.0,20.0,0.0,0.0,"[45, 82, 182]",False,[3.6],[100.0]
