trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
FARTCOINUSDT
339,ML-Guided,,False,0.99,1.0,0.62,5.23,0.91,1.0,True,False,False,False,both,1.63,42.76,158,10,False,True,True,False,bullish,False,23,147,228,11,4.21,8,30,65,21,87,17,10,4.88,1.65,0.6862,False,36,0.6438,False,21,2.5,True,15,55,17,False,14,27.5,False,True,0.65,True,30,False,1,0.0,5m,5m,,2.0,1.0,3.909838181249997,0.0,1000.0,1.9549190906249985,0.2275368187499999,0.3749999999999884,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[25, 83, 267]","[1.5, 1.8]","[50.0, 50.0]"
481,ML-Guided,,False,0.99,1.0,0.16,0.58,0.59,1.0,True,False,False,False,short,0.9,16.04,297,3,False,True,True,False,bullish,False,18,93,133,3,4.71,7,6,78,36,85,9,44,4.95,0.48,0.4042,False,36,0.6438,True,17,3.53,True,24,30,19,False,14,27.5,False,True,1.28,False,11,True,17,-0.01,5m,5m,,1.0,1.0,3.28324527500001,0.0,1000.0,3.28324527500001,0.2272547249999999,0.7499999999999731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[50, 126, 265]",[1.4],[100.0]
585,ML-Guided,,False,0.99,1.0,0.62,3.51,0.51,1.0,False,False,False,False,long,1.16,25.33,551,6,False,True,True,False,bearish,False,18,137,142,3,4.85,9,6,69,17,79,5,17,4.8,2.73,0.5035,False,36,0.6438,False,21,2.5,False,20,58,13,False,14,27.5,False,False,0.89,False,11,True,38,0.14,5m,5m,,5.0,0.8,3.24700478360032,6.7045726897071685,2.758286368473029,0.6494009567200639,1.122253316144885,0.7499999999999952,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,"[31, 90, 223]",[0.6],[100.0]
3,Random (Initial Phase),,False,0.99,1.0,0.69,5.39,0.86,1.0,True,False,False,False,long,0.6,8.8,285,5,True,True,True,False,bearish,False,21,75,73,7,1.49,10,9,60,36,78,19,56,1.62,0.61,0.9723,True,2,0.7007,False,21,2.5,True,5,51,5,False,14,27.5,False,True,1.04,True,18,False,1,0.0,5m,5m,,23.0,0.782608695652174,3.0419657011684462,105.0293664656654,1.0617872434804805,0.1322593783116716,5.194231288645415,0.7499999999999709,0.0,1.0,9.0,13.0,0.0,0.0,0.0,4.3478260869565215,39.130434782608695,56.52173913043478,0.0,0.0,0.0,"[14, 66, 258]",[1.4],[100.0]
553,ML-Guided,,False,0.99,1.0,0.6,0.22,0.4,3.57,True,True,False,False,short,2.69,29.05,251,9,True,True,True,False,bullish,False,17,66,64,15,1.64,10,14,62,37,93,24,18,4.6,2.12,0.1504,False,36,0.6438,True,35,2.23,True,24,40,15,True,39,15.5,True,True,0.3,False,11,False,1,0.0,5m,5m,,1.0,1.0,2.7680209500000115,0.0,1000.0,2.7680209500000115,0.2229790499999999,0.7500000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[21, 132, 285]","[1.2, 4.1, 4.8]","[33.33, 33.33, 33.33]"
681,ML-Guided,,False,0.99,1.0,0.79,3.82,0.78,1.0,True,False,False,False,short,4.73,46.88,30,5,False,True,True,False,bullish,False,26,142,199,13,1.88,6,22,63,27,98,8,13,4.97,1.07,0.3317,False,36,0.6438,True,31,2.59,True,20,44,17,True,14,25.4,False,True,0.62,False,11,False,1,0.0,5m,5m,,2.0,0.5,2.671745271039309,2.0615726950316584,5.586833445444134,1.3358726355196544,0.2230223545684765,0.7500000000000022,0.0,1.0,1.0,0.0,1.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,"[43, 146, 173]","[2.7, 4.4]","[50.0, 50.0]"
402,ML-Guided,,False,0.99,1.0,0.13,3.47,1.23,1.0,False,False,False,False,long,4.9,44.79,625,8,True,True,True,False,bearish,False,25,148,115,20,3.26,9,25,64,45,91,12,10,2.76,0.4,0.6591,False,36,0.6438,False,21,2.5,True,25,49,11,True,22,37.3,False,False,0.89,True,29,False,1,0.0,5m,5m,,2.0,1.0,2.656652368750006,0.0,1000.0,1.328326184375003,0.22697263125,0.3749999999999929,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[23, 69, 172]","[1.0, 1.3]","[50.0, 50.0]"
544,ML-Guided,,False,0.99,1.0,0.68,0.21,0.19,4.28,False,True,False,False,long,1.46,46.2,397,1,False,True,True,False,bearish,False,9,57,241,10,1.93,8,25,67,32,90,12,34,4.81,0.64,0.5824,False,36,0.6438,True,41,3.15,True,24,58,19,False,14,27.5,True,True,1.59,False,11,False,1,0.0,5m,5m,,2.0,1.0,2.549995950000015,0.0,1000.0,1.2749979750000076,0.45000405,0.7499999999999919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[36, 75, 224]","[0.6, 1.4, 3.4]","[33.33, 33.33, 33.33]"
627,ML-Guided,,False,0.99,1.0,0.51,0.29,1.26,1.0,False,False,False,False,short,4.99,20.64,559,2,False,True,True,False,bullish,False,30,72,207,13,0.53,5,5,71,24,87,3,49,4.76,1.68,0.6955,False,36,0.6438,False,21,2.5,True,20,57,17,True,24,30.8,True,True,1.16,False,11,False,1,0.0,5m,5m,,7.0,0.4285714285714285,2.269962302499916,12.25895926720769,1.5957763874560762,0.3242803289285594,1.5780876974999998,0.7499999999999801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[24, 90, 183]","[0.9, 2.0]","[50.0, 50.0]"
177,ML-Guided,,False,0.99,1.0,0.24,5.71,0.49,1.0,False,False,False,False,both,3.92,5.41,374,11,False,True,True,False,bearish,False,5,84,248,7,2.09,3,7,85,28,99,17,21,4.99,2.72,0.9093,True,35,0.6133,False,21,2.5,True,19,29,13,False,14,27.5,True,True,0.74,True,22,False,1,0.0,5m,5m,,4.0,0.75,2.0798822337499354,34.93062501430595,1.1430745051622393,0.5199705584374839,0.90404276625,0.749999999999981,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,"[11, 87, 255]",[2.3],[100.0]
112,ML-Guided,,False,0.99,1.0,0.59,1.93,1.09,1.0,False,False,False,False,short,2.64,19.06,122,3,True,True,True,False,bullish,False,10,112,183,3,4.13,3,8,75,27,84,15,11,4.63,2.66,0.6508,False,36,0.6438,False,21,2.5,True,22,53,17,True,12,20.7,False,False,0.89,False,11,True,20,-0.25,5m,5m,,1.0,1.0,1.7705723000000149,0.0,1000.0,1.7705723000000149,0.2234276999999999,0.750000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[44, 131, 161]","[0.8, 1.6]","[50.0, 50.0]"
602,ML-Guided,,False,0.99,1.0,0.24,4.08,0.43,1.0,False,False,False,False,both,1.05,14.0,339,2,False,True,True,False,bearish,False,7,108,134,16,2.9,9,8,61,41,86,4,10,3.27,2.36,0.948,False,36,0.6438,True,26,3.34,True,23,31,20,True,25,34.1,True,True,0.72,False,11,False,1,0.0,5m,5m,,1.0,1.0,1.521210137499993,0.0,1000.0,1.521210137499993,0.2235398625,0.7500000000000022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[14, 136, 270]",[0.7],[100.0]
574,ML-Guided,,False,0.99,1.0,0.42,5.54,0.87,1.0,True,False,False,False,long,0.63,12.84,683,1,False,True,True,False,bearish,False,22,52,169,14,1.94,10,7,69,34,75,6,59,4.71,1.89,0.7965,True,40,0.081,True,11,2.11,True,25,28,9,True,35,39.0,True,True,1.59,False,11,False,1,0.0,5m,5m,,4.0,0.75,1.0281127997785675,12.00410416928777,1.2895547857239666,0.2570281999446419,0.9006476672101449,0.749999999999982,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,"[36, 114, 286]",[0.7],[100.0]
205,ML-Guided,,False,0.99,1.0,0.49,4.91,0.69,2.58,True,True,False,False,both,4.44,13.04,693,1,True,True,True,False,bearish,False,18,146,134,5,1.55,1,16,57,19,76,14,15,3.59,2.97,0.7337,False,36,0.6438,True,20,2.14,True,10,27,18,True,19,26.0,True,True,1.58,False,11,False,1,0.0,5m,5m,,3.0,0.6666666666666666,0.9021922312499874,0.1289813320426259,27.96964207632628,0.3007307437499958,0.2261827687499999,0.249999999999991,0.0,1.0,2.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,"[38, 148, 276]","[0.5, 0.8, 1.5]","[33.33, 33.33, 33.33]"
42,ML-Guided,,False,0.99,1.0,0.91,0.74,1.44,1.0,True,False,False,False,short,0.69,28.86,408,2,False,True,True,False,bearish,False,20,134,220,13,4.23,3,19,80,33,81,22,46,4.5,2.48,0.1364,True,8,0.0359,False,21,2.5,False,20,58,13,True,17,19.1,True,True,0.45,False,11,True,22,-0.14,5m,5m,,2.0,0.5,0.8461807697513479,8.321560009999999,1.4067414132612128,0.4230903848756739,0.4519341517146595,0.7499999999999649,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[34, 134, 219]","[1.6, 3.8]","[50.0, 50.0]"
268,ML-Guided,,False,0.99,1.0,0.45,2.53,0.76,3.84,True,True,False,False,short,2.43,42.95,39,1,True,True,True,False,bearish,False,19,128,114,3,1.16,4,21,64,36,82,4,10,2.54,2.07,0.2286,True,15,0.4394,True,41,3.7,False,20,58,13,False,14,27.5,True,False,0.89,True,20,False,1,0.0,5m,5m,,121.0,0.7024793388429752,0.7440754313290833,136.6266129632097,1.005121399268029,0.0061493837299924,13.737495779525906,0.6570247933884138,0.0,41.0,74.0,2.0,24.0,0.0,0.0,29.07801418439716,52.4822695035461,1.4184397163120568,17.02127659574468,0.0,0.0,"[39, 96, 187]","[0.7, 3.2, 4.1]","[33.33, 33.33, 33.33]"
40,ML-Guided,,False,0.99,1.0,0.98,1.87,0.14,1.0,False,False,False,False,long,4.69,14.05,70,3,False,True,True,False,bearish,False,7,128,164,9,4.53,2,8,76,40,81,2,56,4.02,2.56,0.1413,True,8,0.3916,True,26,2.05,False,20,58,13,True,23,27.0,True,True,2.19,True,27,False,1,0.0,5m,5m,,2.0,0.5,0.6130489422883398,16.093323903538593,1.1247913931209017,0.3065244711441699,0.4518291951618525,0.7499999999999731,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[45, 118, 261]","[0.8, 2.4]","[50.0, 50.0]"
210,ML-Guided,,False,0.99,1.0,0.66,5.49,0.53,1.0,False,False,False,False,short,4.82,42.36,47,9,False,True,True,False,bearish,False,28,143,71,15,0.84,4,21,64,37,77,18,41,3.12,2.91,0.1784,True,36,0.5273,True,38,3.74,True,8,37,17,True,36,16.0,False,False,0.89,True,6,False,1,0.0,5m,5m,,24.0,0.7083333333333334,0.1911002346439065,115.16745539878336,1.0021899499116858,0.0079625097768294,5.424683166923386,0.7499999999999899,0.0,5.0,14.0,5.0,4.0,0.0,0.0,17.857142857142858,50.0,17.857142857142858,14.285714285714285,0.0,0.0,"[45, 98, 264]",[1.8],[100.0]
577,ML-Guided,,False,0.99,1.0,0.88,0.31,0.91,3.84,False,True,False,False,short,1.53,49.84,549,1,False,True,True,False,bearish,False,14,114,246,15,1.37,8,5,68,35,98,24,50,4.95,1.47,0.0013,False,36,0.6438,False,21,2.5,True,5,31,14,True,21,37.7,False,True,0.93,False,11,True,6,0.17,5m,5m,,7.0,0.2857142857142857,0.0494165562499679,12.03180244499994,1.009857187694202,0.0070595080357097,1.5804584437499998,0.7499999999999721,0.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[38, 143, 184]","[1.1, 2.4, 3.1]","[33.33, 33.33, 33.33]"
