date,time_start,time_end,open,high,low,close,volume,change,change_percent
2019-09-08,05:00,04:59,10000.0,10412.65,10000.0,10316.3,4556.018,316.2999999999993,3.1629999999999927
2019-09-09,05:00,04:59,10316.3,10475.54,10077.22,10305.21,15425.766,-11.090000000000146,-0.10749978189855032
2019-09-10,05:00,04:59,10305.21,10306.67,9940.87,10056.42,8711.737000000001,-248.78999999999905,-2.4142157219503444
2019-09-11,05:00,04:59,10057.71,10205.46,9884.31,10078.37,12493.052,20.660000000001673,0.20541455261686484
2019-09-12,05:00,04:59,10077.71,10450.13,10042.12,10336.83,15678.778999999999,259.1200000000008,2.5712190567103126
2019-09-13,05:00,04:59,10328.75,10355.85,10153.51,10278.74,19961.231,-50.01000000000022,-0.48418250030255566
2019-09-14,05:00,04:59,10276.03,10419.97,10024.81,10312.4,20951.733,36.36999999999898,0.35393045757942493
2019-09-15,05:00,04:59,10310.76,10353.81,10252.28,10317.29,20446.931,6.530000000000655,0.06333189793963447
2019-09-16,05:00,04:59,10316.62,10329.38,10080.7,10193.85,20364.777000000002,-122.77000000000044,-1.1900215380618888
2019-09-17,05:00,04:59,10193.21,10270.63,10136.77,10218.18,22514.408,24.970000000001164,0.24496699273340947
2019-09-18,05:00,04:59,10218.13,10228.41,9530.02,9821.91,22006.817000000003,-396.21999999999935,-3.8776175288433343
2019-09-19,05:00,04:59,9821.84,10331.62,9819.48,10198.97,25710.884,377.1299999999992,3.83970824204018
2019-09-20,05:00,04:59,10198.37,10236.19,10070.5,10093.0,22876.077,-105.3700000000008,-1.033204325789325
2019-09-21,05:00,04:59,10093.0,10115.57,9857.0,9894.96,24446.123,-198.04000000000087,-1.962151986525323
2019-09-22,05:00,04:59,9895.49,10089.52,9881.4,9979.23,23910.728,83.73999999999978,0.8462440970583548
2019-09-23,05:00,04:59,9979.6,9979.69,9603.5,9721.92,31233.970999999998,-257.6800000000003,-2.5820674175317677
2019-09-24,05:00,04:59,9722.16,9791.07,8137.09,8502.59,65539.07199999999,-1219.5699999999997,-12.544228854493236
2019-09-25,05:00,04:59,8501.75,8628.44,8200.0,8359.74,42295.494,-142.01000000000022,-1.6703619842973532
2019-09-26,05:00,04:59,8360.58,8464.4,7700.67,7992.42,60754.835,-368.15999999999985,-4.403522243672088
