date,time_start,time_end,open,high,low,close,volume,change,change_percent
2020-01-31,05:00,04:59,0.0545,0.05598,0.05209,0.05495,319627681.0,0.000449999999999999,0.8256880733944936
2020-02-01,05:00,04:59,0.05492,0.0596,0.05304,0.05767,473115312.0,0.0027500000000000024,5.007283321194469
2020-02-02,05:00,04:59,0.05766,0.05882,0.05526,0.05657,413756738.0,-0.0010900000000000007,-1.8903919528269177
2020-02-03,05:00,04:59,0.05657,0.05789,0.05552,0.05593,263333548.0,-0.0006400000000000017,-1.1313417005479967
2020-02-04,05:00,04:59,0.05594,0.05701,0.05406,0.05656,264630407.0,0.0006200000000000025,1.108330353950666
2020-02-05,05:00,04:59,0.05659,0.06095,0.05659,0.06072,316564575.0,0.004130000000000002,7.298109206573603
2020-02-06,05:00,04:59,0.06075,0.06306,0.0572,0.06135,331999460.0,0.0006000000000000033,0.9876543209876598
2020-02-07,05:00,04:59,0.06135,0.06209,0.0569,0.05933,290719235.0,-0.002020000000000001,-3.2925835370823155
2020-02-08,05:00,04:59,0.05933,0.06215,0.05923,0.06151,214237016.0,0.0021800000000000014,3.674363728299345
2020-02-09,05:00,04:59,0.06152,0.06261,0.06029,0.06095,217838029.0,-0.0005700000000000011,-0.926527958387518
2020-02-10,05:00,04:59,0.06097,0.06132,0.05818,0.05908,248886474.0,-0.0018900000000000028,-3.0998851894374324
2020-02-11,05:00,04:59,0.05911,0.06573,0.05901,0.06514,389022864.0,0.006030000000000001,10.201319573676198
2020-02-12,05:00,04:59,0.06514,0.07227,0.06399,0.07145,531471332.0,0.006309999999999996,9.68682836966533
2020-02-13,05:00,04:59,0.07144,0.07256,0.06476,0.06929,702946563.0,-0.002149999999999999,-3.0095184770436716
2020-02-14,05:00,04:59,0.06929,0.0715,0.06709,0.06961,475499993.0,0.00032000000000000084,0.46182710347813655
2020-02-15,05:00,04:59,0.06961,0.07037,0.06189,0.06679,481880509.0,-0.002820000000000003,-4.05114207728775
2020-02-16,05:00,04:59,0.06676,0.0671,0.05635,0.05797,537280796.0,-0.00879,-13.16656680647094
2020-02-17,05:00,04:59,0.05797,0.0626,0.05567,0.06258,449088061.0,0.004609999999999996,7.952389166810413
2020-02-18,05:00,04:59,0.06258,0.06377,0.05748,0.06185,411870975.0,-0.0007299999999999945,-1.1665068712048492
