date,time_start,time_end,open,high,low,close,volume,change,change_percent
2020-09-14,05:00,04:59,3.2002,4.91,3.2002,3.2555,5575548.0,0.055299999999999905,1.7280169989375636
2020-09-15,05:00,04:59,3.2555,3.3149,2.5011,2.6805,4726933.0,-0.5750000000000002,-17.66241744739672
2020-09-16,05:00,04:59,2.6841,2.7615,2.4316,2.5027,5783608.0,-0.1814,-6.758317499348013
2020-09-17,05:00,04:59,2.5031,2.9604,2.3569,2.838,6451473.0,0.3349000000000002,13.379409532180105
2020-09-18,05:00,04:59,2.8381,3.2509,2.7989,3.1053,6281792.0,0.2672000000000003,9.414749304111918
2020-09-19,05:00,04:59,3.1054,3.1621,2.8473,2.9266,4691461.0,-0.17879999999999985,-5.757712371997161
2020-09-20,05:00,04:59,2.9265,3.03,2.6876,2.9141,4739793.0,-0.012399999999999967,-0.42371433452930013
2020-09-21,05:00,04:59,2.9143,2.9813,2.4576,2.8941,6505441.0,-0.020199999999999996,-0.6931338571869745
2020-09-22,05:00,04:59,2.895,3.0935,2.6094,2.8009,9936238.0,-0.09410000000000007,-3.2504317789291908
2020-09-23,05:00,04:59,2.801,3.0162,2.6863,2.8952,6169816.0,0.09419999999999984,3.3630846126383376
2020-09-24,05:00,04:59,2.8951,3.2538,2.8885,3.0368,6424854.0,0.14170000000000016,4.894476874719359
2020-09-25,05:00,04:59,3.037,3.2698,2.898,3.1567,5910709.0,0.11969999999999992,3.9413895291405967
2020-09-26,05:00,04:59,3.1529,3.249,3.017,3.1446,4721636.0,-0.008299999999999752,-0.26324970661929503
2020-09-27,05:00,04:59,3.1443,3.2116,2.977,3.1135,4960736.0,-0.030799999999999716,-0.9795502973634742
2020-09-28,05:00,04:59,3.1137,3.1295,2.8909,2.9407,4737351.0,-0.17300000000000004,-5.5560908244211085
2020-09-29,05:00,04:59,2.9407,3.0207,2.874,2.9772,4406680.0,0.036499999999999755,1.2412010745740725
2020-09-30,05:00,04:59,2.977,2.989,2.8285,2.9358,3919301.0,-0.0411999999999999,-1.3839435673496776
2020-10-01,05:00,04:59,2.9357,2.9968,2.6546,2.8424,4852352.0,-0.09330000000000016,-3.1781176550737524
2020-10-02,05:00,04:59,2.8424,2.8424,2.4224,2.6421,5577632.0,-0.20029999999999992,-7.046861806923724
2020-10-03,05:00,04:59,2.6412,2.6689,2.4476,2.518,4328586.0,-0.1232000000000002,-4.664546418294722
2020-10-04,05:00,04:59,2.52,2.5909,2.4266,2.5014,4529052.0,-0.018600000000000172,-0.7380952380952449
2020-10-05,05:00,04:59,2.5019,2.677,2.4561,2.5963,4320758.0,0.09439999999999982,3.773132419361278
2020-10-06,05:00,04:59,2.5959,2.5966,2.0854,2.1904,6104691.0,-0.40549999999999997,-15.6207866250626
2020-10-07,05:00,04:59,2.1905,2.4,2.1714,2.2098,6156767.0,0.019299999999999873,0.8810773795936943
2020-10-08,05:00,04:59,2.2097,2.4629,2.0117,2.3648,8708596.0,0.15509999999999957,7.019052360048855
2020-10-09,05:00,04:59,2.3656,2.6289,2.3237,2.5379,6465816.0,0.1722999999999999,7.283564423402092
2020-10-10,05:00,04:59,2.5382,2.5835,2.3378,2.3589,5493659.0,-0.17929999999999957,-7.064061145693783
2020-10-11,05:00,04:59,2.359,2.5055,2.3533,2.4921,4678076.0,0.13310000000000022,5.6422212802034855
2020-10-12,05:00,04:59,2.4922,2.7096,2.4369,2.4832,6968948.0,-0.008999999999999897,-0.3611267153518938
2020-10-13,05:00,04:59,2.4832,2.563,2.3355,2.3792,6461708.0,-0.10400000000000009,-4.188144329896911
2020-10-14,05:00,04:59,2.3791,2.4005,2.232,2.2547,4789191.0,-0.12440000000000007,-5.228868059350177
2020-10-15,05:00,04:59,2.2544,2.3443,2.103,2.1531,4837987.0,-0.10130000000000017,-4.4934350603264805
2020-10-16,05:00,04:59,2.1529,2.2534,2.11,2.2213,5575466.0,0.06840000000000002,3.17710994472572
2020-10-17,05:00,04:59,2.2221,2.2425,2.1602,2.213,3953090.0,-0.009100000000000108,-0.4095225237388105
2020-10-18,05:00,04:59,2.2132,2.2649,2.0818,2.0934,4232036.0,-0.11980000000000013,-5.412976685342496
2020-10-19,05:00,04:59,2.0932,2.121,2.0373,2.0442,4810952.0,-0.04899999999999993,-2.340913433976683
2020-10-20,05:00,04:59,2.0436,2.0583,1.8457,1.9688,6039757.0,-0.07479999999999998,-3.660207477001369
2020-10-21,05:00,04:59,1.9685,2.1098,1.8474,1.9684,10692431.0,-9.999999999998899e-05,-0.005080010160019761
2020-10-22,05:00,04:59,1.9684,2.0905,1.9145,1.9545,5503647.0,-0.013900000000000023,-0.7061572851046548
2020-10-23,05:00,04:59,1.9545,1.9938,1.8502,1.9455,5258441.0,-0.008999999999999897,-0.4604758250191812
2020-10-24,05:00,04:59,1.946,1.9734,1.88,1.9209,4307557.0,-0.0250999999999999,-1.289825282631033
2020-10-25,05:00,04:59,1.9197,1.9253,1.7628,1.8288,5735902.0,-0.09089999999999998,-4.73511486169714
2020-10-26,05:00,04:59,1.8277,1.8723,1.6162,1.6944,6475256.0,-0.1333000000000002,-7.293319472561152
2020-10-27,05:00,04:59,1.6942,1.7542,1.5672,1.5955,7807996.0,-0.09870000000000001,-5.825758470074372
2020-10-28,05:00,04:59,1.5958,1.635,1.4555,1.5393,9680755.0,-0.05650000000000022,-3.540543927810516
