trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
167,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.38,3.93,0.28,1.0,True,False,False,short,1.22,47.52,96,1,True,True,True,False,bearish,False,26,102,111,20,3.19,4,6,56,31,85,22,53,4.99,2.74,0.482,True,17,0.43,True,31,2.37,True,24,27,16,True,32,18.6,True,True,1.86,True,28,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[11, 105, 297]",False,[1.4],[100.0]
168,ML-Guided,,True,0.018,0.047,0.0,1.0,0.1,1.0,False,False,False,short,1.52,35.84,434,7,True,True,True,False,bullish,False,9,148,139,17,1.7,4,30,72,34,90,8,54,2.08,0.78,0.9016,True,28,0.65,False,11,1.73,False,20,58,13,False,35,32.2,True,True,0.3,True,17,False,1,0.0,5m,5m,CHILLGUYUSDT,26.0,0.3076923076923077,-51.27879086788384,301.9067666889265,0.603807664079301,-1.9722611872263016,5.851501780089507,0.7499999999999976,0.0,14.0,8.0,4.0,0.0,0.0,0.0,53.84615384615385,30.76923076923077,15.384615384615383,0.0,0.0,0.0,"[34, 89, 198]",False,[4.7],[100.0]
169,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.027,0.027,0.0,1.0,0.1,1.0,False,False,False,short,4.45,37.65,446,5,False,True,True,False,bearish,False,15,63,59,12,3.28,2,27,57,21,84,5,45,2.37,1.95,0.9603,True,11,0.9,True,17,3.55,False,20,58,13,True,39,39.5,True,True,1.75,True,16,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[30, 147, 274]",False,[2.7],[100.0]
170,ML-Guided,,False,0.99,1.0,0.58,5.88,1.07,1.0,True,False,False,both,2.73,39.21,170,1,True,True,True,False,bullish,False,10,66,52,9,0.15,2,6,63,26,98,17,55,4.27,1.27,0.9804,True,21,0.66,False,11,1.73,True,6,47,17,False,35,32.2,False,False,0.89,False,11,True,25,0.19,5m,5m,CHILLGUYUSDT,95.0,0.3578947368421052,-132.17149189570318,367.33235445983496,0.6504228176858462,-1.3912788620600336,21.355900215624533,0.7499999999999866,0.0,6.0,31.0,57.0,3.0,0.0,0.0,6.185567010309279,31.95876288659793,58.76288659793815,3.0927835051546397,0.0,0.0,"[10, 119, 216]",False,[3.1],[100.0]
171,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.12,5.9,1.36,1.0,True,False,False,short,0.57,13.92,438,3,False,True,True,False,bullish,False,7,33,228,11,1.71,9,16,84,42,86,2,59,4.4,1.59,0.9611,False,36,0.6438,True,23,1.8,False,20,58,13,True,14,28.6,True,True,0.51,True,8,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[20, 86, 223]",False,[2.7],[100.0]
172,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.017,0.031,0.0,1.0,0.1,1.0,False,False,False,short,2.36,20.93,248,5,False,True,True,False,bearish,False,20,41,103,17,2.5,1,12,56,40,79,28,43,3.63,2.79,0.9029,False,36,0.6438,False,11,1.73,True,7,26,19,True,24,35.2,False,False,0.89,True,26,True,20,-0.2,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[23, 61, 154]",False,[3.1],[100.0]
173,ML-Guided,,True,0.038,0.047,0.0,1.0,0.1,1.0,False,False,False,short,3.67,21.52,664,5,False,True,True,False,bearish,False,9,43,62,11,3.24,8,21,68,16,93,2,60,1.9,0.72,0.0235,False,36,0.6438,True,15,3.39,True,14,40,19,False,35,32.2,False,True,0.63,True,30,False,1,0.0,5m,5m,CHILLGUYUSDT,17.0,0.1764705882352941,-78.94842374999998,315.7936949999999,0.2713430147568239,-4.644024926470586,3.8134237499999992,0.7499999999999742,0.0,14.0,3.0,0.0,0.0,0.0,0.0,82.35294117647058,17.647058823529413,0.0,0.0,0.0,0.0,"[19, 146, 159]",False,[4.7],[100.0]
174,ML-Guided,,True,0.02,0.068,0.0,1.0,0.1,1.0,False,False,False,short,1.48,13.41,464,1,True,True,True,False,bearish,False,12,80,187,5,0.35,2,10,81,33,95,15,50,1.92,2.07,0.9841,True,7,0.64,False,11,1.73,True,10,50,7,False,35,32.2,True,True,1.18,False,11,False,1,0.0,5m,5m,CHILLGUYUSDT,37.0,0.4594594594594595,14.521940570407082,72.46523629631713,1.1053428830592755,0.3924848802812725,8.330123564742884,0.7499999999999947,0.0,14.0,15.0,8.0,0.0,0.0,0.0,37.83783783783784,40.54054054054054,21.62162162162162,0.0,0.0,0.0,"[11, 95, 165]",False,[6.8],[100.0]
175,ML-Guided,,True,0.017,0.04,0.0,1.0,0.1,1.0,False,False,False,both,4.63,41.37,167,10,True,True,True,False,bearish,False,6,134,143,16,2.35,1,23,61,22,75,3,17,2.83,2.68,0.8115,True,33,0.7,True,25,3.54,False,20,58,13,False,35,32.2,False,True,0.94,True,30,False,1,0.0,5m,5m,CHILLGUYUSDT,31.0,0.4193548387096774,-16.285418483399418,169.96718078082372,0.874565330020767,-0.5253360801096586,7.0186537058501015,0.7499999999999767,0.0,16.0,10.0,5.0,0.0,0.0,0.0,51.61290322580645,32.25806451612903,16.129032258064516,0.0,0.0,0.0,"[35, 93, 269]",False,[4.0],[100.0]
176,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.6,5.11,0.93,3.29,True,False,False,long,2.53,29.76,35,11,True,True,True,False,bearish,False,27,51,233,15,4.31,9,13,71,40,96,4,59,4.62,2.17,0.6913,True,8,0.16,False,11,1.73,False,20,58,13,False,35,32.2,True,True,1.78,True,14,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[27, 99, 236]",True,"[0.7, 1.8, 4.3]","[33.33, 33.33, 33.33]"
